Country Name,Country Code,Indicator Name,Indicator Code,Region,Region_Code,Income Group,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Finland,FIN,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.009455771,1.018715635,1.02774041,1.036569279,1.042786057,1.046508287,1.050178275,1.053822143,1.057413768,1.060809487,1.063983178,1.067130748,1.070252197,1.073347526,1.07576371,1.077526872,1.079290034,1.081040135,1.082777176,1.084501156,1.086212076,1.087922996,1.089620855,1.091305654,1.093003513,1.094714433,1.096451474,1.098201575,1.099964737
France,FRA,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.001017294,1.002034588,1.003051882,1.004489658,1.006836216,1.00916921,1.01148864,1.013808071,1.016100373,1.018406239,1.020684978,1.022950153,1.025622245,1.029108172,1.032580536,1.036012208,1.039430315,1.042834859,1.046185148,1.049535436,1.052845032,1.056141065,1.059423533,1.06266531,1.065907087,1.069108172,1.072295693,1.075469651,1.078602916
Gabon,GAB,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Upper middle income,1,1.020231985,1.042394563,1.064054873,1.085260002,1.105962864,1.126163457,1.145783303,1.164853793,1.182809876,1.199651552,1.215441603,1.230227119,1.244055187,1.256957197,1.269011631,1.280234182,1.29067194,1.300356296,1.30936573,1.31770024,1.325406916,1.332517148,1.339062328,1.345089545,1.350583102,1.355605782,1.360173282,1.364285602,1.367989829
Germany,DEU,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,0.994326397,1.005260476,1.004943746,1.006899211,1.008978614,1.010231764,1.010520952,1.009997659,1.009212719,1.008469091,1.007615297,1.006706419,1.006155583,1.006196896,1.006830357,1.00767038,1.008482862,1.009254031,1.01016291,1.012077062,1.014845009,1.017599185,1.020325819,1.023052453,1.025765317,1.028519493,1.03130121,1.03411047,1.036961042
Ghana,GHA,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Lower middle income,1,1.020898455,1.042064839,1.063350302,1.084844155,1.106546396,1.128427257,1.150427198,1.172635527,1.194962937,1.217468965,1.240034533,1.26277872,1.285582448,1.307761007,1.327766366,1.347831264,1.367955702,1.38816945,1.408353428,1.428596946,1.448870233,1.46917329,1.489416808,1.509719865,1.529993153,1.550087821,1.56991456,1.589473371,1.608823792
Greece,GRC,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.002701212,1.005388282,1.008061209,1.010719993,1.013095928,1.01482131,1.016532549,1.018229645,1.019940884,1.021637981,1.023320935,1.025018032,1.026700986,1.02838394,1.031170007,1.03668557,1.042144564,1.047575273,1.05293527,1.058238697,1.063499696,1.068718268,1.073866127,1.078957417,1.084006279,1.088970287,1.093821154,1.098558882,1.103211755
Grenada,GRD,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Upper middle income,1,1.001474482,1.002948965,1.004423447,1.00589793,1.008245065,1.016038758,1.023862542,1.031716418,1.039600385,1.047514444,1.055428503,1.063402744,1.071376986,1.079411411,1.086452817,1.085038517,1.083624218,1.082179827,1.080765527,1.079351228,1.077936928,1.076522629,1.075108329,1.07369403,1.07227973,1.071286712,1.070745065,1.070654791,1.070985797
Guatemala,GTM,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Lower middle income,1,1.00988797,1.019851807,1.029790355,1.039804769,1.049819184,1.059909466,1.069974458,1.080090029,1.090205599,1.100371747,1.110537895,1.120754622,1.130971348,1.141213363,1.151455378,1.161697393,1.171989986,1.182409023,1.192929216,1.203575854,1.214348937,1.225223175,1.236223858,1.247325696,1.258503401,1.269807551,1.281162279,1.292643451,1.304175202
Guinea-Bissau,GNB,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.047059825,1.095651434,1.14556208,1.196961961,1.249723428,1.290741214,1.322908689,1.355501659,1.388520126,1.422006638,1.455833546,1.490043401,1.524636201,1.559611948,1.594842992,1.630414433,1.66632627,1.702535954,1.738873287,1.775551017,1.812441494,1.84954472,1.886733044,1.924134116,1.960726747,1.996596034,2.031614331,2.065781636,2.0990554
Guyana,GUY,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Upper middle income,1,0.996994289,0.993988578,0.990982867,0.987977157,0.984971446,0.981999132,0.979026818,0.976054504,0.973082189,0.970109875,0.967137561,0.964198644,0.96122633,0.958287413,0.955348495,0.952409578,0.949504058,0.947066092,0.945162475,0.943726414,0.9428247,0.942390542,0.942490732,0.943091875,0.944160572,0.945763618,0.947867615,0.950439168,0.953578466
